enso_index,action_WWV,action_NPMM,action_SPMM,action_IOB,action_IOD,action_SIOD,action_TNA,action_ATL3,action_SASD,state_Nino34,state_WWV,state_NPMM,state_SPMM,state_IOB,state_IOD,state_SIOD,state_TNA,state_ATL3,state_SASD
1.65808,1.0,1.0,-0.01713039,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.65808,13.714541,1.0442545,-0.02681712,0.14270277,-0.19109294,0.3783607,-0.10001034,-1.2200918,0.6479467
2.0751555,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,2.0751555,10.1165695,1.0407418,-0.11041079,0.17321366,-0.04460563,0.5855019,-0.10688257,-1.1474038,0.6408002
2.1985803,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,2.1985803,10.190337,1.062128,-0.13323358,0.15564191,0.15685739,0.56138396,-0.17735745,-1.0971236,0.6551703
2.4218764,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,2.4218764,9.101545,1.1723224,0.010612155,0.15146425,0.28435242,0.5420557,-0.10615089,-0.78987575,0.7696848
2.4571385,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,2.4571385,10.432967,1.2447622,0.06872085,0.1155051,0.5554708,0.59190166,-0.2709111,-0.51172394,0.7918094
2.7604933,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,2.7604933,8.65063,1.2563324,0.07423351,0.14214234,0.42953527,0.7345112,-0.33609018,-0.46537387,0.51576835
2.7604933,1.0,1.0,1.0,-1.0,0.38790804,0.37711912,-1.0,-1.0,1.0,2.7604933,5.2745733,1.1836133,0.27592257,0.23308402,0.3420363,0.8311588,-0.42709917,-0.48810923,-0.13346179
2.7172658,1.0,1.0,1.0,-0.7506277,1.0,-0.7130885,-1.0,-1.0,1.0,2.7172658,-0.96848035,1.0940511,0.37006006,0.19321856,0.2169142,0.6894727,-0.5539437,-0.45640907,-0.3202937
2.6121309,1.0,1.0,1.0,0.05518789,1.0,-1.0,-1.0,-1.0,1.0,2.6121309,-4.696991,0.9964791,0.578066,0.18029444,-0.43701884,0.50473416,-0.57008725,-0.46249518,-0.28467435
2.2004516,1.0,1.0,1.0,-0.372985,1.0,-1.0,-1.0,-1.0,1.0,2.2004516,-3.1872194,1.0488846,0.5893475,0.2357085,-0.21954316,0.41611505,-0.5351791,-0.5475353,-0.5877656
1.9698141,1.0,1.0,1.0,0.10354387,1.0,-1.0,-1.0,-1.0,1.0,1.9698141,-5.099437,1.1484563,0.44388455,0.27728185,0.13911854,0.4126014,-0.5138019,-0.69384617,-0.4130889
1.8894314,1.0,1.0,1.0,0.38917297,1.0,-1.0,-1.0,-1.0,1.0,1.8894314,-5.691127,1.162089,0.56221926,0.30871403,-0.014828513,0.37436527,-0.50797224,-1.0766248,-0.22754839
1.6055565,1.0,0.27357155,1.0,1.0,1.0,-1.0,-0.7021255,-1.0,0.63712466,1.6055565,-9.344049,1.1878083,0.57672656,0.32136783,0.08034577,0.35550913,-0.56326133,-1.2200918,-0.21523131
1.5146666,1.0,0.5437663,1.0,1.0,1.0,-1.0,-0.83792245,-1.0,0.7996167,1.5146666,-8.211535,1.2514026,0.56212777,0.34024328,-0.031195031,0.18453968,-0.64956015,-0.9727074,-0.27490002
1.3693503,1.0,0.55206275,1.0,1.0,1.0,-1.0,-0.91130793,-1.0,0.7877309,1.3693503,-7.931353,1.277288,0.6160726,0.28637642,0.1650793,0.11668086,-0.6734102,-0.7857949,-0.19272865
1.4727893,1.0,0.13514362,1.0,1.0,1.0,-1.0,-0.7029259,-1.0,0.5294821,1.4727893,-9.132461,1.3461609,0.66209465,0.2132175,0.29800162,0.100532085,-0.6126881,-0.64318806,-0.039314587
